S.N.	Reference No.	Name	Acc. No.	Valid From	Valid Upto	Remarks
171	H-2010-0434	Johal Multispeciality Hospital, Jalandhar, Punjab, India	H-2013-0182	15 Nov 2024	14 Nov 2028	Renewed on 5th Edition
172	H-2009-0221	Heart & General Hospital, Jaipur, Rajasthan, India	H-2013-0183	23 Jun 2022	22 Jun 2026	Renewed on 5th Edition
173	H-2007-0045	Jaslok Hospital & Research Center, Mumbai, Maharashtra, India	H-2013-0184	23 Jun 2022	22 Jun 2026	Renewed on 5th Edition
174	H-2010-0438	HCG Hospitals ( A Unit of Healthcare Global Enterprises Ltd.), Ahmedabad, Gujarat, India	H-2013-0185	23 Jun 2022	22 Jun 2026	Renewed on 5th Edition
175	H-2010-0427	Sathya Kidney Centre & Super Speciality Hospitals, Hyderabad, Telangana, India	H-2013-0186	23 Jun 2022	22 Jun 2026	Renewed on 5th Edition
176	H-2011-0565	Nusi Wockhardt Hospital, Goa, Panaji (Panjim), Goa, India	H-2013-0187	23 Jun 2013	22 Jun 2016	Accreditation Withdrawal w.e.f 22nd June 2016
177	H-2010-0432	IMS and SUM Hospital, Bhubneshwar, Orissa, India	H-2013-0188	23 Jun 2013	22 Jun 2016	Not Recommended for Renewal of accreditation
178	H-2011-0469	The Mission Hospital, Durgapur, West Bengal, India	H-2013-0190	23 Jun 2022	22 Jun 2026	Renewed on 5th Edition
179	H-2009-0228	Soni Hospital, Jaipur, Rajasthan, India	H-2013-0191	11 Apr 2023	10 Apr 2027	Renewed on 5th Edition
180	H-2010-0455	Jehangir Hospital, Pune, Maharashtra, India	H-2013-0192	27 Jul 2022	26 Jul 2026	Renewed on 5th Edition
181	H-2012-0588	Apollo Hospitals, Bilaspur, Chattisgarh, India	H-2013-0193	27 Jul 2022	26 Jul 2026	Renewed on 5th Edition
182	H-2012-0628	Vadamalayan Hospitals, Madurai, Tamil Nadu, India	H-2013-0194	27 Jul 2022	26 Jul 2026	Renewed on 5th Edition
183	H-2010-0453	Chord Road HospitalPvt Ltd., Bangalore, Karnataka, India	H-2013-0195	27 Jul 2013	26 Jul 2016	Voluntary Withdrawal w.e.f 21st January 2016
184	H-2009-0285	Bhatia Global Hospital & Endosurgery Institute, New Delhi, Delhi, India	H-2013-0196	19 Sep 2022	18 Sep 2026	Renewed on 5th Edition
185	H-2013-0685	Apollo BGS Hospitals, Mysore, Karnataka, India	H-2013-0197	19 Sep 2022	18 Sep 2026	Renewed on 5th Edition
186	H-2011-0542	Shri B.D. Mehta Mahavir Heart Institute, Surat, Gujarat, India	H-2013-0200	28 Nov 2022	27 Nov 2026	Renewed on 5th Edition
187	H-2009-0270	Bhagwati Hospital, New Delhi, Delhi, India	H-2013-0201	03 Dec 2022	02 Dec 2026	Renewed on 5th Edition
188	H-2009-0250	Downtown Hospital Ltd., Guwahati, Assam, India	H-2013-0202	03 Dec 2022	02 Dec 2026	Renewed on 5th Edition
189	H-2010-0441	Apollo Hospitals Enterprises Ltd., Bhubneshwar, Orissa, India	H-2013-0205	03 Dec 2022	02 Dec 2026	Renewed on 5th Edition
190	H-2011-0583	Sacred Heart Hospital, Jalandhar, Punjab, India	H-2013-0206	22 Dec 2022	21 Dec 2026	Renewed on 5th Edition
191	H-2010-0394	The Tertiary Teaching Hospitals of Christian Medical College, Vellore, Tamil Nadu, India	H-2013-0207	24 Aug 2023	23 Aug 2027	Renewed on 5th Edition
192	H-2011-0573	Holy Family Hospital, New Delhi, New Delhi, Delhi, India	H-2014-0208	23 Jan 2023	22 Jan 2027	Renewed on 5th Edition
193	H-2012-0595	Advanced Surat Trauma and Orthopaedic Surgery Hospital, Surat, Gujarat, India	H-2014-0209	29 Jan 2023	28 Jan 2027	Renewed on 5th Edition
194	H-2012-0652	Bombay Hospital, Indore, Madhya Pradesh, India	H-2014-0210	29 Jan 2023	28 Jan 2027	Renewed on 5th Edition
195	H-2009-0303	Gleneagles BGS Hospital (A Unit of Gleneagles Healthcare India Private Limited) - (Earlier Certificate issued in the name of BGS Gleneagles Global Hospital), Bangalore, Karnataka, India	H-2014-0211	07 Mar 2023	06 Mar 2027	Renewed on 5th Edition
196	H-2011-0554	Medical Research Foundation, Chennai, Tamil Nadu, India	H-2014-0212	18 Feb 2018	17 Feb 2021	Accredition expired Not undergone renewal Asessment
197	H-2010-0461	Kumaran Hospitals (P) Ltd., Kilpauk, Tamil Nadu, India	H-2014-0213	07 Mar 2017	06 Mar 2020	Application Closed
198	H-2013-0694	Zydus Hospital, Anand, Gujarat, India	H-2014-0215	07 Mar 2023	06 Mar 2027	Renewed on 5th Edition
199	H-2009-0208	Care Hospitals, Hyderabad, Telangana, India	H-2014-0216	07 Mar 2023	06 Mar 2027	Renewed on 5th Edition
200	H-2009-0113	Dhanalakshmi Hospital Pvt. Ltd, Kannur, Kerala, Kannur, Kerala, India	H-2014-0217	12 Mar 2023	11 Mar 2027	Renewed on 5th Edition
201	H-2011-0580	Indus Hospitals (A Unit of Vasugan Medical Specialities Pvt. Ltd.), Visakhapatnam, Andhra Pradesh, India	H-2014-0218	19 May 2024	18 May 2028	Renewed on 5th Edition
202	H-2010-0466	Medanta Abdur Razzaque Ansari Memorial Weavers Hospital , Ranchi, Jharkhand, India	H-2014-0219	16 Sep 2021	15 Sep 2025	Renewed on 5th Edition
203	H-2012-0644	Manipal Hospitals Private Limited, Patiala, Punjab, India	H-2014-0221	19 May 2023	18 May 2027	Renewed on 5th Edition
204	H-2010-0463	MIOT Hospitals, Manapakkam, Tamil Nadu, India	H-2014-0222	18 Feb 2025	17 Feb 2029	Renewed on 5th Edition
205	H-2011-0555	Criticare Asia Multispecialty Hospital and Research Center , Mumbai, Maharashtra, India	H-2014-0223	19 May 2024	18 May 2028	Renewed on 5th Edition
206	H-2012-0672	Sterling Hospitals, Rajkot, Gujarat, India	H-2014-0224	19 May 2023	18 May 2027	Renewed on 5th Edition
207	H-2013-0689	Max Super Specialty Hospital, Dehradun, Uttarakhand, India	H-2014-0225	19 May 2023	18 May 2027	Renewed on 5th Edition
208	H-2011-0579	PRS Hospital , Thiruvananthapuram, Kerala, India	H-2014-0226	19 May 2023	18 May 2027	Renewed on 5th Edition
209	H-2011-0476	Omni Hospital, Hyderabad, Telangana, India	H-2014-0227	29 May 2024	28 May 2028	Renewed on 5th Edition
210	H-2009-0225	Goyal Hospital & Urology Centre, Krishna Nagar, New Delhi, Delhi, India	H-2014-0228	12 Jun 2023	11 Jun 2027	Renewed on 5th Edition
211	H-2009-0138	Chandni Hospital Pvt. Ltd., Kanpur, Uttar Pradesh, India	H-2014-0229	12 Jun 2024	11 Jun 2028	Renewed on 5th Edition
212	H-2013-0708	Max Super Speciality Hospital (A Unit of Hometrail Buildtech Private Limited) - (Earlier Certificate issued in the Name of Max Super Specialty Hospital), Bathinda, Punjab, India	H-2014-0230	12 Jun 2023	11 Jun 2027	Renewed on 5th Edition
213	H-2009-0231	Tirath Ram Shah Charitable Hospital, New Delhi, Delhi, India	H-2014-0231	07 Jul 2023	06 Jul 2027	Renewed on 5th Edition
214	H-2011-0575	Regional Cancer Centre, Thiruvananthapuram, Kerala, India	H-2014-0232	07 Jul 2017	06 Jul 2020	Application Closed
215	H-2012-0633	RG Stone Urology and Laproscopy Hospital, Faridabad, Haryana, India	H-2014-0233	07 Jul 2014	06 Jul 2017	Transfer to SHCO
216	H-2012-0653	St. Isabel’s Hospital, Chennai, Tamil Nadu, India	H-2014-0234	07 Jul 2024	06 Jul 2028	Renewed on 5th Edition
217	H-2013-0739	Apex Heart Institute, Ahmedabad, Gujarat, India	H-2014-0235	07 Jul 2024	06 Jul 2028	Renewed on 5th Edition
218	H-2013-0692	Fortis Healthcare Limited, Mulund - (Earlier Certificate issued in the name of Fortis Hospitals Ltd.), Mumbai, Maharashtra, India	H-2014-0236	07 Jul 2024	06 Jul 2028	Renewed on 5th Edition
219	H-2012-0605	Smt. RB Shah Mahavir Super Specialty Hospital, Surat, Gujarat, India	H-2014-0237	14 Aug 2024	13 Aug 2028	Renewed on 5th Edition
220	H-2012-0598	Shree Krishna Hospital & Pramukhswami Medical College, Karamsad, Gujarat, India	H-2014-0238	14 Aug 2023	13 Aug 2027	Renewed on 5th Edition
221	H-2014-0811	Silver Line Hospital, Kochi, Kerala, India	H-2014-0239	06 Sep 2014	05 Sep 2017	Transfer to SHCO
222	H-2012-0596	Meerut Kidney Hospital, Meerut, Uttar Pradesh, India	H-2014-0240	06 Sep 2014	05 Sep 2017	Application Closed
223	H-2010-0448	Shanti Memorial Hospital Pvt Ltd, Cuttack, Orissa, India	H-2014-0241	06 Sep 2024	05 Sep 2028	Renewed on 5th Edition
224	H-2012-0601	Sundaram Medical Foundation, Chennai, Tamil Nadu, India	H-2014-0242	09 Feb 2023	08 Feb 2027	Renewed on 5th Edition
225	H-2011-0576	PVS Hospital, Calicut, Kerala, India	H-2014-0243	06 Sep 2014	05 Sep 2017	Accredition expired Not undergone renewal Asessment - Closed
226	H-2011-0561	Jain Hospital, New Delhi, Delhi, India	H-2014-0244	06 Sep 2017	05 Sep 2020	Moved to SHCO
227	H-2010-0414	Institute for Communicative and Cognitive Neurosciences, Shoranur, Palakkad, Kerala, India	H-2014-0245	06 Sep 2014	05 Sep 2017	Application Closed
228	H-2013-0691	Peerless Hospitex Hospital & Research Centre Limited, Kolkata, West Bengal, India	H-2014-0246	06 Sep 2024	05 Sep 2028	Renewed on 5th Edition
229	H-2008-0089	KIMS Al Shifa Healthcare Pvt. Ltd., Perintalmanna, Kerala, India	H-2014-0247	10 Oct 2024	09 Oct 2028	Renewed on 5th Edition
230	H-2012-0609	Bhagat Chandra Hospital, New Delhi, Delhi, India	H-2014-0248	10 Oct 2020	09 Oct 2024	Renewed on 5th Edition
231	H-2013-0687	Sentini Hospitals Pvt. Ltd., Vijayawada, Andhra Pradesh, India	H-2014-0249	08 Sep 2022	07 Sep 2026	Renewed on 5th Edition
232	H-2011-0513	Alchemist Hospital Limited, Panchkula, Haryana, India	H-2014-0250	10 Nov 2024	09 Nov 2028	Renewed on 5th Edition
233	H-2009-0235	Ganadhipati Purushottam Shekhawati Hospital & Research Centre, Jaipur, Rajasthan, India	H-2014-0251	14 Nov 2024	13 Nov 2028	Renewed on 5th Edition
234	H-2012-0637	Seven Hills Healthcare Pvt. Ltd., Mumbai, Maharashtra, India	H-2014-0252	10 Nov 2014	09 Nov 2017	Application Closed
235	H-2011-0545	Dr. Ramesh Cardiac and Multispecialty Hospital Private Limited - Main Branch, Vijayawada, Andhra Pradesh, India	H-2014-0253	10 Nov 2024	09 Nov 2028	Renewed on 5th Edition
236	H-2011-0485	Medicover Hospital, Hyderabad, Telangana, India	H-2014-0254	10 Dec 2017	09 Dec 2020	Moved to SHCO
237	H-2013-0758	Continental Hospitals Limited, Hyderabad, Telangana, India	H-2014-0255	10 Dec 2024	09 Dec 2028	Renewed on 5th Edition
238	H-2013-0698	Rao Nursing Home, Pune, Maharashtra, India	H-2014-0256	10 Dec 2023	09 Dec 2027	Renewed on 5th Edition
239	H-2011-0494	Apollo Hospitals, Hyderguda, Hyderabad, Telangana, India	H-2014-0257	10 Dec 2024	09 Dec 2028	Renewed on 5th Edition
240	H-2012-0620	Raja Diagnostic Centre and Hospital, Nawanshahr, Punjab, India	H-2014-0258	11 Dec 2024	09 Dec 2028	Renewed on 5th Edition
241	H-2009-0309	Aditya Hospital, Boggulakunta, Hyderabad, Telangana, India	H-2014-0259	10 Dec 2017	09 Dec 2020	Application closed
242	H-2013-0721	Kokilaben Dhirubhai Ambani Hospital & Medical Research Institute, Mumbai, Maharashtra, India	H-2014-0260	10 Dec 2024	09 Dec 2028	Renewed on 5th Edition
243	H-2013-0760	Fernandez Hospital, Bogulkunta, Hyderabad, Telangana, India	H-2014-0261	10 Dec 2024	09 Dec 2028	Renewed on 5th Edition
244	H-2011-0478	Hosmat Hospital, Bangalore, Karnataka, India	H-2015-0262	09 Jun 2022	08 Jun 2026	Renewed on 5th Edition
245	H-2009-0156	Surbhi Hospital, Noida, Uttar Pradesh, India	H-2015-0263	12 Jan 2025	11 Jan 2029	Renewed on 5th Edition
246	H-2010-0436	Tagore Hospital & Heart Care Centre Pvt. Ltd., Jalandhar, Punjab, India	H-2015-0265	12 Jan 2025	11 Jan 2029	Renewed on 5th Edition
247	H-2013-0679	Bethany Hospital, Thane, Maharashtra, India	H-2015-0266	12 Jan 2025	11 Jan 2029	Renewed on 5th Edition
248	H-2013-0800	Meenakshi Hospital, Tanjore, Tamil Nadu, India	H-2015-0267	12 Jan 2025	11 Jan 2029	Renewed on 5th Edition
249	H-2014-0851	Manipal Hospitals Private Limited, Pune, Maharashtra, India	H-2015-0268	12 Jan 2024	11 Jan 2028	Renewed on 5th Edition
250	H-2009-0237	Baderia Metroprime Multispeciality Hospital, Jabalpur, Madhya Pradesh, India	H-2015-0269	17 Feb 2024	16 Feb 2028	Renewed on 5th Edition
251	H-2009-0247	Deepak Memorial Hospital & Medical Research Centre, New Delhi, Delhi, India	H-2015-0270	17 Feb 2015	16 Feb 2018	Accredition expired Not undergone renewal Asessment - Closed
252	H-2012-0638	Sai Vani Super Specialty Hospital, Hyderabad, Telangana, India	H-2015-0271	17 Feb 2021	16 Feb 2025	Forced Withdrawal of Accreditation w.e.f. 18th September 2024
253	H-2009-0210	Santokba Durlabhji Memorial Hospital Cum Medical Research Institute, Jaipur, Rajasthan, India	H-2015-0272	17 Feb 2024	16 Feb 2028	Renewed on 5th Edition
254	H-2011-0470	Ananthapuri Hospitals and Research Institute, Thiruvananthapuram, Kerala, India	H-2015-0273	05 Jan 2023	04 Jan 2027	Renewed on 5th Edition
255	H-2013-0748	KIMS-Sunshine Hospitals (A Unit of Sarvejana Healthcare Private Limited), Secunderabad, Andhra Pradesh, India	H-2015-0274	19 Sep 2021	18 Sep 2025	Forced Withdrawal of Accreditation w.e.f. 13th March 2025
256	H-2014-0819	Synergy Institute of Medical Sciences, Dehradun, Uttarakhand, India	H-2015-0275	17 Feb 2025	16 Feb 2029	Renewed on 5th Edition
257	H-2009-0240	Prakash Hospital Pvt. Ltd., Noida, Uttar Pradesh, India	H-2015-0276	05 Mar 2025	04 Mar 2029	Renewed on 5th Edition
258	H-2011-0558	Krishna Super Speciality Hospital, Kanpur, Uttar Pradesh, India	H-2015-0277	05 Mar 2025	04 Mar 2029	Renewed on 5th Edition
259	H-2011-0492	QRG Central Hospital & Research Centre, Faridabad, Haryana, India	H-2015-0278	05 Mar 2018	04 Mar 2021	Application Closed
260	H-2012-0645	Kidney Hospital & Lifeline Medical Institutions, Jalandhar, Punjab, India	H-2015-0279	05 Mar 2025	04 Mar 2029	Renewed on 5th Edition
261	H-2009-0337	Max Super Speciality Hospital (A Unit of Starlit Medical Centre Private Limited) - (Earlier Certificate issued in the name of Sahara Hospital), Lucknow, Uttar Pradesh, India	H-2015-0280	31 Mar 2025	30 Mar 2029	Renewed on 5th Edition
262	H-2009-0211	Shanti Gopal Hospital, Ghaziabad, Uttar Pradesh, India	H-2015-0281	31 Mar 2025	30 Mar 2029	Renewed on 5th Edition
263	H-2012-0615	Lourdes Hospital, Ernakulam, Kerala, India	H-2015-0282	31 Mar 2025	30 Mar 2029	Renewed on 5th Edition
264	H-2009-0283	Park Hospital , Gurgaon, Haryana, India	H-2015-0283	31 Mar 2024	30 Mar 2028	Renewed on 5th Edition
265	H-2009-0229	Bhagwan Mahaveer Cancer Hospital & Research Centre, Jaipur, Rajasthan, India	H-2015-0284	31 Mar 2025	30 Mar 2029	Renewed on 5th Edition
266	H-2009-0197	Maharaja Agarsen Hospital, New Delhi, Delhi, India	H-2015-0285	31 Mar 2024	30 Mar 2028	Renewed on 5th Edition
267	H-2014-0867	Rainbow Children’s Medicare Limited - (Earlier Certificate issued in the Name of Rainbow Hospital For Women Aand Children), Secunderabad, Andhra Pradesh, India	H-2015-0286	21 Jul 2022	20 Jul 2026	Renewed on 5th Edition
268	H-2014-0808	Manipal Hospitals, Salem, Tamil Nadu, India	H-2015-0287	31 Mar 2025	30 Mar 2029	Renewed on 5th Edition
269	H-2014-0824	Asian Institute of Nephrology & Urology, Hyderabad, Telangana, India	H-2015-0288	31 Mar 2025	30 Mar 2029	Renewed on 5th Edition
270	H-2014-0827	NHS Hospital, Jalandhar, Punjab, India	H-2015-0289	31 Mar 2025	30 Mar 2029	Renewed on 5th Edition
271	H-2013-0783	Sai Sanjeevini Hospitals, Hyderabad, Telangana, India	H-2015-0290	31 Mar 2025	30 Mar 2029	Renewed on 5th Edition
272	H-2014-0896	Aster Medcity, Kochi, Kerala, India	H-2015-0291	31 Mar 2025	30 Mar 2029	Renewed on 5th Edition
273	H-2009-0095	Government (CL & SC) Spine Institute and Physiotherapy College, Ahmedabad, Gujarat, India	H-2015-0292	04 Apr 2025	03 Apr 2029	Renewed on 5th Edition
274	H-2013-0764	Billroth Hospitals Limited, Chennai, Tamil Nadu, India	H-2015-0293	04 May 2025	03 May 2029	Renewed on 5th Edition
275	H-2014-0854	Sitaram Bhartia Institute of Science & Research, New Delhi, Delhi, India	H-2015-0294	04 May 2025	03 May 2029	Renewed on 5th Edition
276	H-2013-0756	Fernandez Hospital, Hyderguda, Andhra Pradesh, India	H-2015-0295	04 May 2025	03 May 2029	Renewed on 5th Edition
277	H-2011-0584	North Star Hospital, Kanpur, Uttar Pradesh, India	H-2015-0296	04 Jun 2015	03 Jun 2018	Shifted to SHCO
278	H-2013-0740	Bhailal Amin General Hospital, Vadodara, Gujarat, India	H-2015-0297	04 Jun 2025	03 Jun 2029	Renewed on 5th Edition
279	H-2013-0750	Chirayu Medical College & Hospital, Bhopal, Madhya Pradesh, India	H-2015-0298	04 Jun 2025	03 Jun 2029	Renewed on 5th Edition
280	H-2012-0646	Livasa Hospital, Nawanshahr (A Unit of Ivy Healthcare Infrastructure Private Limited) - (Earlier Certificate issued in the name of IVY Hospital (IVY Healthcare Infrastructure Private Limited), Nawanshahr, Punjab, India	H-2015-0299	04 Jun 2025	03 Jun 2029	Renewed on 5th Edition
281	H-2012-0661	Apollo Hospitals, Kakinada, Andhra Pradesh, India	H-2015-0300	04 Jun 2025	03 Jun 2029	Renewed on 5th Edition
282	H-2011-0582	Olive Hospitals, Hyderabad, Telangana, India	H-2015-0301	04 Jun 2025	03 Jun 2029	Renewed on 5th Edition
283	H-2014-0868	Ruby Hall Clinic, Wanowarie, Pune, Maharashtra, India	H-2015-0302	04 Jun 2025	03 Jun 2029	Renewed on 5th Edition
284	H-2014-0842	Fortis Memorial Research Institute, Gurgaon, Haryana, India	H-2015-0303	04 Jun 2025	03 Jun 2029	Renewed on 5th Edition
285	H-2013-0791	Apollo Speciality Hospitals, Vanagaram, Chennai, Tamil Nadu, India	H-2015-0304	04 Jun 2025	03 Jun 2029	Renewed on 5th Edition
286	H-2012-0674	MGM New Bombay Hospital, Vashi, Mumbai, Maharashtra, India	H-2015-0305	04 Jun 2025	03 Jun 2029	Renewed on 5th Edition
287	H-2014-0810	Aster Aaadhar Hospital, Kolhapur, Maharashtra, India	H-2015-0306	24 Feb 2022	23 Feb 2026	Renewed on 5th Edition
288	H-2014-0878	Capitol Hospital, Jalandhar, Punjab, India	H-2015-0307	04 Jun 2024	03 Jun 2028	Renewed on 5th Edition
289	H-2012-0630	Vadodara Institute of Neurological Sciences, Vadodara, Gujarat, India	H-2015-0308	21 Jun 2018	20 Jun 2021	Moved to SHCO
290	H-2009-0198	Sumitra Hospital, Noida, Uttar Pradesh, India	H-2015-0309	21 Jun 2025	20 Jun 2029	Renewed on 5th Edition
291	H-2010-0437	Indus Super Speciality Hospital, Mohali, Punjab, India	H-2015-0310	21 Jun 2025	20 Jun 2029	Renewed on 5th Edition
292	H-2013-0749	Aayush NRI LEPL Health Care Private Limited, Vijayawada, Andhra Pradesh, India	H-2015-0311	21 Jun 2025	20 Jun 2029	Renewed on 5th Edition
293	H-2011-0498	Muthoot Healthcare Private Limited, Kozhencherry, Pathanamthitta, Kerala, India	H-2015-0312	21 Jun 2025	20 Jun 2029	Renewed on 5th Edition
294	H-2013-0735	Father Muller Medical College Hospital, Mangalore, Karnataka, India	H-2015-0313	03 Aug 2025	02 Aug 2029	Renewed on 6th Edition
295	H-2011-0489	The Deccan Hospitals, Somajiguda, Hyderabad, Telangana, India	H-2015-0314	03 Aug 2025	02 Aug 2029	Renewed on 6th Edition
296	H-2010-0418	HCG Manavata Cancer Centre, Nasik, Maharashtra, India	H-2015-0315	03 Aug 2025	02 Aug 2029	Renewed on 5th Edition
297	H-2012-0673	Dr. Malthi Manipal Hospital, Bangalore, Karnataka, India	H-2015-0316	03 Aug 2025	02 Aug 2029	Renewed on 5th Edition
298	H-2012-0659	Manipal Super Speciality Hospital, Guntur, Andhra Pradesh, India	H-2015-0317	02 Sep 2025	01 Sep 2029	Renewed on 6th Edition
299	H-2006-0002	Ruby General Hospital Ltd., Kolkata, West Bengal, India	H-2015-0318	27 Jul 2022	26 Jul 2026	Renewed on 5th Edition
300	H-2013-0761	B.A.P.S. Shastriji Maharaj Hospital, Vadodara, Gujarat, India	H-2015-0319	02 Sep 2025	01 Sep 2029	Renewed on 5th Edition
301	H-2013-0734	Sohana Hospital (A Multi Super Specialty Hospital) A Unit of Sri Guru Harkrishan Sahib (c) Eye Hospital Trust, Mohali, Punjab, India	H-2015-0320	02 Sep 2025	01 Sep 2029	Renewed on 5th Edition
302	H-2013-0703	Sri Jayadeva Institute of Cardiovascular Sciences & Research, Bangalore, Karnataka, India	H-2015-0321	02 Sep 2025	01 Sep 2029	Renewed on 5th Edition
303	H-2011-0566	Sankara Eye Hospital, Bangalore, Karnataka, India	H-2015-0322	02 Sep 2015	01 Sep 2018	Moved to ECO
304	H-2014-0859	Apple Saraswati Multi Speciality Hospital, Kolhapur, Maharashtra, India	H-2015-0323	02 Sep 2025	01 Sep 2029	Renewed on 5th Edition
305	H-2013-0690	Hartej Hospital, Amritsar, Punjab, India	H-2015-0324	02 Sep 2018	01 Sep 2021	Not Recommended for Renewal of accreditation
306	H-2013-0785	Nalluri Nursing Home, Ongole, Andhra Pradesh, India	H-2015-0325	02 Sep 2018	01 Sep 2021	Application closed
307	H-2010-0368	Bhagirathi Neotia Woman & Child Care Centre, Kolkata, West Bengal, India	H-2015-0327	26 Sep 2021	25 Sep 2025	Renewed on 5th Edition
308	H-2009-0149	M.G.S. Hospital, New Delhi, Delhi, India	H-2015-0329	26 Sep 2025	25 Sep 2029	Renewed on 5th Edition
309	H-2014-0889	Narayana Superspeciality Hospital, Guwahati, Assam, India	H-2015-0330	26 Sep 2021	25 Sep 2025	Renewed on 5th Edition
310	H-2013-0747	Manipal Hospitals Private Limited , Ghaziabad, Uttar Pradesh, India	H-2015-0331	26 Sep 2025	25 Sep 2029	Renewed on 5th Edition
311	H-2014-0888	Fortis Hospital , Ludhiana, Punjab, India	H-2015-0332	05 Oct 2025	04 Oct 2029	Renewed on 6th Edition
312	H-2014-0860	Oxford hospitals Pvt. Ltd., Jalandhar, Punjab, India	H-2015-0333	07 Nov 2015	06 Nov 2018	Application Closed
313	H-2014-0846	Apollo Speciality Hospitals, Trichy, Tamil Nadu, India	H-2015-0334	07 Nov 2021	06 Nov 2025	Renewed on 5th Edition
314	H-2014-0805	Narayana Multispeciality Hospital, Ahmedabad, Gujarat, India	H-2015-0335	07 Nov 2025	06 Nov 2029	Renewed on 6th Edition
315	H-2015-0941	UN Mehta Institute of Cardiology & Research Centre,, Ahmedabad, Gujarat, India	H-2015-0336	07 Nov 2025	06 Nov 2029	Renewed on 6th Edition
316	H-2014-0820	Caritas Hospital and Institute of Health Sciences, Kottayam, Kerala, India	H-2015-0337	07 Nov 2025	06 Nov 2029	Renewed on 6th Edition
